endpoint_key,kind,exposure,archive,site,archive_id,plate_id,scan_id,process_id,solution_id,solutionset_id,solution_num,selected_expnum,filename_scan,naxis1,naxis2,file_size,wcs_key,wcs_source,wcs_center_match_sep_deg,direct_solution_ra_deg,direct_solution_dec_deg,fits_url,datalink_resolution_method,repository_relative_filename_scan,head_http_status,head_content_length,head_accept_ranges,range_probe_http_status,range_probe_content_range,fits_primary_header_magic_pass,fits_checksum,fits_datasum
APPLAUSE:11787,APPLAUSE,APPLAUSE:11787,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,101,6877,8927,8953,12054,8586,2,,DR4/scans/HAM-LA/LA07334_y.fits,17304,12462,431305920,PRIMARY,APPLAUSE_DR4_SOLUTION_HEADER_WCS_EXACT_SOLUTION_ID,0.00482677773032636,86.32984665649,9.04576831915,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA07334_y.fits,DIRECT_FROM_DR4_SCAN_FILENAME_PLUS_FITS_HEADER_RANGE_PROBE,DR4/scans/HAM-LA/LA07334_y.fits,200,431305920,bytes,206,bytes 0-2879/431305920,True,AAa0B5U0AAa0A3U0,1635544206
APPLAUSE:11788,APPLAUSE,APPLAUSE:11788,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,101,6877,8927,8953,12054,8586,2,,DR4/scans/HAM-LA/LA07334_y.fits,17304,12462,431305920,PRIMARY,APPLAUSE_DR4_SOLUTION_HEADER_WCS_EXACT_SOLUTION_ID,0.00482677773032636,86.32984665649,9.04576831915,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA07334_y.fits,DIRECT_FROM_DR4_SCAN_FILENAME_PLUS_FITS_HEADER_RANGE_PROBE,DR4/scans/HAM-LA/LA07334_y.fits,200,431305920,bytes,206,bytes 0-2879/431305920,True,AAa0B5U0AAa0A3U0,1635544206
APPLAUSE:11790,APPLAUSE,APPLAUSE:11790,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,101,6878,8928,8954,12052,8585,-1,,DR4/scans/HAM-LA/LA07335_x.fits,12512,17243,431510400,PRIMARY,APPLAUSE_DR4_SOLUTION_HEADER_WCS_EXACT_SOLUTION_ID,0.004877301203064568,86.35309484403,9.02012397065,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA07335_x.fits,DIRECT_FROM_DR4_SCAN_FILENAME_PLUS_FITS_HEADER_RANGE_PROBE,DR4/scans/HAM-LA/LA07335_x.fits,200,431510400,bytes,206,bytes 0-2879/431510400,True,9RIACPF29PF8APF8,3454446407
APPLAUSE:11819,APPLAUSE,APPLAUSE:11819,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,101,6898,8961,8987,12111,8641,1,,DR4/scans/HAM-LA/LA07356_y.fits,22928,28573,1310258880,PRIMARY,APPLAUSE_DR4_SOLUTION_HEADER_WCS_EXACT_SOLUTION_ID,0.003336346967368802,102.9971859824,-0.1934864181581,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA07356_y.fits,DIRECT_FROM_DR4_SCAN_FILENAME_PLUS_FITS_HEADER_RANGE_PROBE,DR4/scans/HAM-LA/LA07356_y.fits,200,1310258880,bytes,206,bytes 0-2879/1310258880,True,9ln8Aln59ln5Aln5,3491739023
APPLAUSE:12404,APPLAUSE,APPLAUSE:12404,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,101,7016,9095,9121,12679,8753,6,,DR4/scans/HAM-LA/LA07481_x.fits,8584,11382,195442560,PRIMARY,APPLAUSE_DR4_SOLUTION_HEADER_WCS_EXACT_SOLUTION_ID,0.0027439038910658177,301.5993015007,35.80333266619,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA07481_x.fits,DIRECT_FROM_DR4_SCAN_FILENAME_PLUS_FITS_HEADER_RANGE_PROBE,DR4/scans/HAM-LA/LA07481_x.fits,200,195442560,bytes,206,bytes 0-2879/195442560,True,Zc6LaZ5LTa5LZY5L,3766409370
APPLAUSE:12405,APPLAUSE,APPLAUSE:12405,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,101,7016,9095,9121,12679,8753,6,,DR4/scans/HAM-LA/LA07481_x.fits,8584,11382,195442560,PRIMARY,APPLAUSE_DR4_SOLUTION_HEADER_WCS_EXACT_SOLUTION_ID,0.0027439038910658177,301.5993015007,35.80333266619,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA07481_x.fits,DIRECT_FROM_DR4_SCAN_FILENAME_PLUS_FITS_HEADER_RANGE_PROBE,DR4/scans/HAM-LA/LA07481_x.fits,200,195442560,bytes,206,bytes 0-2879/195442560,True,Zc6LaZ5LTa5LZY5L,3766409370
APPLAUSE:12469,APPLAUSE,APPLAUSE:12469,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,101,7031,9115,9141,12739,8763,6,,DR4/scans/HAM-LA/LA07498_x.fits,8616,11382,196171200,PRIMARY,APPLAUSE_DR4_SOLUTION_HEADER_WCS_EXACT_SOLUTION_ID,0.0019845261357525953,301.6140372223,35.91949727616,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA07498_x.fits,DIRECT_FROM_DR4_SCAN_FILENAME_PLUS_FITS_HEADER_RANGE_PROBE,DR4/scans/HAM-LA/LA07498_x.fits,200,196171200,bytes,206,bytes 0-2879/196171200,True,8XXO8XWM8XWM8XWM,1719177637
APPLAUSE:12470,APPLAUSE,APPLAUSE:12470,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,101,7031,9115,9141,12739,8763,6,,DR4/scans/HAM-LA/LA07498_x.fits,8616,11382,196171200,PRIMARY,APPLAUSE_DR4_SOLUTION_HEADER_WCS_EXACT_SOLUTION_ID,0.0019845261357525953,301.6140372223,35.91949727616,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA07498_x.fits,DIRECT_FROM_DR4_SCAN_FILENAME_PLUS_FITS_HEADER_RANGE_PROBE,DR4/scans/HAM-LA/LA07498_x.fits,200,196171200,bytes,206,bytes 0-2879/196171200,True,8XXO8XWM8XWM8XWM,1719177637
APPLAUSE:12471,APPLAUSE,APPLAUSE:12471,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,101,7031,9115,9141,12739,8763,6,,DR4/scans/HAM-LA/LA07498_x.fits,8616,11382,196171200,PRIMARY,APPLAUSE_DR4_SOLUTION_HEADER_WCS_EXACT_SOLUTION_ID,0.0019845261357525953,301.6140372223,35.91949727616,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA07498_x.fits,DIRECT_FROM_DR4_SCAN_FILENAME_PLUS_FITS_HEADER_RANGE_PROBE,DR4/scans/HAM-LA/LA07498_x.fits,200,196171200,bytes,206,bytes 0-2879/196171200,True,8XXO8XWM8XWM8XWM,1719177637
APPLAUSE:12562,APPLAUSE,APPLAUSE:12562,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,101,7050,9137,9163,12823,8782,6,,DR4/scans/HAM-LA/LA07517_x.fits,8616,11407,196600320,PRIMARY,APPLAUSE_DR4_SOLUTION_HEADER_WCS_EXACT_SOLUTION_ID,0.002658014608353076,301.5985702992,35.95569509004,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA07517_x.fits,DIRECT_FROM_DR4_SCAN_FILENAME_PLUS_FITS_HEADER_RANGE_PROBE,DR4/scans/HAM-LA/LA07517_x.fits,200,196600320,bytes,206,bytes 0-2879/196600320,True,O1ikP1hhO1hhO1hh,1583420202
